title,artist,top genre,year,bpm,danceability,energy,loudness,liveness,valence,duration _s,acousticness,speechiness,popularity
Mama - Acoustic,Jonas Blue,dance pop,2017,88,37,46,-6,8,58,192,77,7,58
Make It Rain,Travis Porter,atl hip hop,2012,129,69,93,-6,23,39,239,8,18,51
Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,80
Love Me Now - Recorded at Spotify Studios NYC,John Legend,neo mellow,2016,86,23,51,-6,11,42,229,98,5,65
Love Me Back - Acoustic,RITUAL,vapor soul,2019,108,47,75,-6,8,40,190,67,4,47
Love Is Gone - Acoustic,SLANDER,brostep,2019,140,15,54,-6,16,36,177,88,3,58
Love Is Gone,SLANDER,brostep,2019,150,47,45,-6,10,8,256,6,3,63
Lost on You,Yellow Claw,bass trap,2018,200,60,44,-6,11,36,201,52,8,47
Lost in You,khai dreams,indie pop,2017,90,61,77,-6,12,79,101,33,11,72
Lost Lately - pure alternative version,San Holo,edm,2019,123,53,50,-6,33,47,243,77,5,37
Lost Lately - 3LAU Remix,San Holo,edm,2019,130,73,65,-6,14,60,195,2,5,41
Lost Lately,San Holo,edm,2019,130,59,66,-6,11,53,219,59,9,46
Lost In Japan - Recorded at Spotify Studios NYC,Shawn Mendes,canadian pop,2018,102,51,44,-6,6,54,215,72,6,59
Lost (feat. xo sad),Kayzo,brostep,2019,140,77,76,-6,6,18,261,3,6,34
Lost,ILLENIUM,edm,2017,135,62,67,-6,10,33,200,10,5,58
Lose My Mind (feat. Mr Gabriel) [Luttrell Remix],Jai Wolf,edm,2019,123,84,50,-6,19,37,265,1,3,59
"Lookin 4 (Feat. Joyce Wrice, Devin Morrison)",Crush,k-pop,2019,123,47,61,-6,16,44,284,61,34,48
Lonely Without U,demxntia,emo rap,2019,168,48,62,-6,21,63,186,52,5,29
Lonely Together - Acoustic,Avicii,big room,2017,103,42,46,-6,17,51,182,82,4,58
Lonely (with Chandler Leighton),ILLENIUM,edm,2019,93,40,45,-6,29,13,271,60,3,59
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,2019,192,76,69,-6,10,37,185,28,22,84
Lip Gloss,Lil Mama,hip pop,2007,189,87,62,-6,6,94,220,41,50,64
Level Up,Ciara,dance pop,2019,153,83,75,-6,12,58,204,1,17,68
Let's Fall in Love for the Night,FINNEAS,electropop,2018,128,41,74,-6,17,37,190,80,10,83
Let Me Down Slowly,Alec Benjamin,pop,2018,150,56,65,-6,12,48,169,74,3,86
Let Light Out (feat. Sunnie Williams),ARMNHMR,brostep,2019,145,62,35,-6,12,15,230,17,3,36
Let Go (feat. Fiora) - Festival Mix,Seven Lions,brostep,2019,128,51,43,-6,13,8,277,69,4,47
Lemon - Edit,N.E.R.D,hip hop,2017,190,71,81,-6,36,15,147,0,31,58
"Left, Right",YG,cali rap,2014,95,73,78,-6,68,22,233,4,35,57
Lay It On Me (feat. Keiynan Lonsdale),Kasbo,catstep,2018,100,58,56,-6,12,15,224,34,7,56
LOVE (with Elohim),Louis The Child,edm,2018,100,59,71,-6,38,25,213,7,19,44
LA Never Says Goodbye (feat. Kyle Pavone),Kayzo,brostep,2019,77,67,27,-6,7,8,288,0,4,44
Kill Em With Kindness - Acoustic,Selena Gomez,dance pop,2017,95,16,54,-6,10,15,213,92,3,61
KAMIKAZE (VIP),GRAVEDGR,bass trap,2019,95,98,34,-6,51,18,190,0,6,44
Just For A Moment (feat. Iselin),Gryffin,dance pop,2019,144,78,54,-7,27,41,253,1,5,65
Juicy,Doja Cat,la indie,2019,170,70,77,-7,7,43,200,8,6,75
It`s you,JEONG SEWOON,k-pop,2018,131,42,38,-7,9,26,220,72,3,59
Is It Really Me You're Missing,Nina Nesbitt,dance pop,2019,148,30,54,-7,12,5,233,65,7,69
In Your Head - RL Grime Edit,G Jones,brostep,2019,150,99,46,-7,22,7,178,0,35,53
In Your Arms (with X Ambassadors),ILLENIUM,edm,2019,148,81,40,-7,11,11,221,20,5,77
In My Blood - Acoustic,Shawn Mendes,canadian pop,2018,140,52,57,-7,14,24,213,73,3,63
In Flames,Dabin,canadian electronic,2019,92,73,48,-7,10,30,205,1,4,54
ILYSB - STRIPPED,LANY,la pop,2015,84,39,66,-7,11,17,245,55,6,72
ID,Boombox Cartel,bass trap,2018,150,92,67,-7,10,28,205,39,4,49
ICY GRL,Saweetie,cali rap,2018,103,56,93,-7,7,84,109,3,18,71
I'm in Love (Piano Remix),Ra. D,k-indie,2009,74,28,46,-7,14,41,235,92,6,45
"I'm Not the Only One - Live from Spotify, London",Dua Lipa,dance pop,2016,176,27,46,-7,69,32,196,86,5,70
I Will Go To You Like the First Snow,Ailee,k-pop,2017,134,43,50,-7,15,17,230,66,3,60
I Wanna Know - Acoustic,NOTD,dance pop,2018,120,40,67,-7,18,39,201,76,4,58
I Still See Your Face - Flaws Remix,San Holo,edm,2017,126,57,69,-7,14,23,185,38,5,40
I Miss You (feat. Julia Michaels) - Acoustic,Clean Bandit,dance pop,2017,105,31,56,-7,8,49,216,87,3,59
